orig_h,orig_w,crop_x0,crop_y0,crop_w,crop_h,n_images,n_exact,worst_meandiff
942,2000,420,189,1160,659,173,173,0.0
518,1098,231,105,636,362,69,69,0.0
570,1210,254,114,701,399,10,10,0.0
656,1391,292,132,806,459,8,8,0.0
691,1112,234,139,644,483,3,3,0.0
690,1465,308,139,849,482,6,6,0.0
1097,2000,420,221,1160,767,1,1,0.0
691,1111,233,139,644,483,2,2,0.0
495,1050,220,100,609,346,4,4,0.0
587,1245,261,119,722,410,1,1,0.0
644,1367,287,130,792,450,4,4,0.0
633,1343,282,127,778,443,4,4,0.0
691,1122,236,139,650,483,1,1,0.0
552,1172,246,111,679,386,1,1,0.0
