local_class,local_filename,true_original_filename,true_original_subfolder
iyi 2,cate1_0010.png,cate1_0010.png,Supplemental content-93/images
iyi 2,cate1_0011.png,cate1_0011.png,Supplemental content-93/images
iyi 2,cate2_001.png,cate1_007.png,Train/images
iyi 2,cate2_0011.png,cate2_0011.png,Supplemental content-93/images
iyi 2,cate2_0013.png,cate2_0013.png,Supplemental content-93/images
iyi 2,cate2_002.png,cate2_003.png,Test/images
iyi 2,cate2_007.png,cate2_000.png,Train/images
iyi 2,cate2_008.png,cate2_009.png,Test/images
iyi 2,cate2_013.png,cate2_014.png,Test/images
iyi 2,cate3_000.png,cate2_007.png,Train/images
iyi 2,cate3_0003.png,cate3_0003.png,Supplemental content-93/images
iyi 2,cate3_00033.png,cate2_007.png,Train/images
iyi 2,cate3_0012.png,cate3_0012.png,Supplemental content-93/images
iyi 2,cate3_003.png,cate2_011.png,Train/images
iyi 2,cate3_003333.png,cate2_011.png,Train/images
iyi 2,cate3_004.png,cate2_012.png,Train/images
iyi 2,cate3_00444.png,cate2_012.png,Train/images
iyi 2,cate4_008.png,cate4_004.png,Train/images
iyi 2,cate4_013.png,cate4_009.png,Train/images
iyi 2,cate5_0007.png,cate5_0007.png,Supplemental content-93/images
iyi 2,cate5_004.png,cate5_001.png,Train/images
iyi 2,cate6_0005.png,cate6_0005.png,Supplemental content-93/images
iyi 2,cate7_0000.png,cate7_0000.png,Supplemental content-93/images
iyi 2,cate7_0003.png,cate7_0003.png,Supplemental content-93/images
kötü 2,10.png,cate1_003.png,Train/images
kötü 2,111.png,cate1_000.png,Train/images
kötü 2,1112.png,cate2_008.png,Train/images
kötü 2,112.png,cate1_011.png,Train/images
kötü 2,12.png,cate1_004.png,Train/images
kötü 2,13.png,cate1_005.png,Train/images
kötü 2,210.png,cate2_003.png,Train/images
kötü 2,211.png,cate2_004.png,Train/images
kötü 2,212.png,cate2_005.png,Train/images
kötü 2,23.png,cate1_009.png,Train/images
kötü 2,24.png,cate1_010.png,Train/images
kötü 2,26.png,cate1_013.png,Train/images
kötü 2,29.png,cate2_002.png,Train/images
kötü 2,8.png,cate5_013.png,Train/images
kötü 2,9.png,cate1_001.png,Train/images
kötü 2,cate1111222.png,cate4_002.png,Train/images
kötü 2,cate1_000.png,cate1_001.png,Test/images
kötü 2,cate1_0000.png,cate1_0000.png,Supplemental content-93/images
kötü 2,cate1_0001.png,cate1_0001.png,Supplemental content-93/images
kötü 2,cate1_0003.png,cate1_0003.png,Supplemental content-93/images
kötü 2,cate1_0006.png,cate1_0006.png,Supplemental content-93/images
kötü 2,cate1_0009.png,cate1_0009.png,Supplemental content-93/images
kötü 2,cate1_001.png,cate1_002.png,Test/images
kötü 2,cate1_0012.png,cate1_0012.png,Supplemental content-93/images
kötü 2,cate1_0013.png,cate1_0013.png,Supplemental content-93/images
kötü 2,cate1_002.png,cate1_003.png,Test/images
kötü 2,cate1_003.png,cate3_005.png,Train/images
kötü 2,cate1_0033333.png,cate1_004.png,Test/images
kötü 2,cate1_004.png,cate1_005.png,Test/images
kötü 2,cate1_005.png,cate4_013.png,Train/images
kötü 2,cate1_00555.png,cate1_006.png,Test/images
kötü 2,cate1_006.png,cate1_007.png,Test/images
kötü 2,cate1_0066.png,cate5_010.png,Train/images
kötü 2,cate1_007.png,cate1_008.png,Test/images
kötü 2,cate1_0077.png,cate5_012.png,Train/images
kötü 2,cate1_008.png,cate1_009.png,Test/images
kötü 2,cate1_009.png,cate1_010.png,Test/images
kötü 2,cate1_010.png,cate1_002.png,Train/images
kötü 2,cate1_011.png,cate1_012.png,Test/images
kötü 2,cate1_012.png,cate1_013.png,Test/images
kötü 2,cate1_013.png,cate1_014.png,Test/images
kötü 2,cate1_014.png,cate2_000.png,Test/images
kötü 2,cate2_000.png,cate1_006.png,Train/images
kötü 2,cate2_0000.png,cate2_0000.png,Supplemental content-93/images
kötü 2,cate2_0001.png,cate2_0001.png,Supplemental content-93/images
kötü 2,cate2_000222222.png,cate2_0002.png,Supplemental content-93/images
kötü 2,cate2_0003.png,cate2_0003.png,Supplemental content-93/images
kötü 2,cate2_0005.png,cate2_0005.png,Supplemental content-93/images
kötü 2,cate2_0008.png,cate2_0008.png,Supplemental content-93/images
kötü 2,cate2_0009.png,cate2_0009.png,Supplemental content-93/images
kötü 2,cate2_002.png,cate1_008.png,Train/images
kötü 2,cate2_003.png,cate2_004.png,Test/images
kötü 2,cate2_004.png,cate2_005.png,Test/images
kötü 2,cate2_005.png,cate1_012.png,Train/images
kötü 2,cate2_006.png,cate2_007.png,Test/images
kötü 2,cate2_007.png,cate2_008.png,Test/images
kötü 2,cate2_008.png,cate2_001.png,Train/images
kötü 2,cate2_009.png,cate2_010.png,Test/images
kötü 2,cate2_010.png,cate2_011.png,Test/images
kötü 2,cate2_011.png,cate2_012.png,Test/images
kötü 2,cate2_012.png,cate2_013.png,Test/images
kötü 2,cate2_013.png,cate2_006.png,Train/images
kötü 2,cate2_014.png,cate1_000.png,Test/images
kötü 2,cate3_0002.png,cate3_0002.png,Supplemental content-93/images
kötü 2,cate3_0004.png,cate3_0004.png,Supplemental content-93/images
kötü 2,cate3_0005.png,cate3_0005.png,Supplemental content-93/images
kötü 2,cate3_0006.png,cate3_0006.png,Supplemental content-93/images
kötü 2,cate3_0007.png,cate3_0007.png,Supplemental content-93/images
kötü 2,cate3_0008.png,cate3_0008.png,Supplemental content-93/images
kötü 2,cate3_0009.png,cate3_0009.png,Supplemental content-93/images
kötü 2,cate3_001.png,cate2_009.png,Train/images
kötü 2,cate3_0010.png,cate3_0010.png,Supplemental content-93/images
kötü 2,cate3_0011.png,cate3_0011.png,Supplemental content-93/images
kötü 2,cate3_002.png,cate2_010.png,Train/images
kötü 2,cate3_006.png,cate3_000.png,Train/images
kötü 2,cate3_007.png,cate3_001.png,Train/images
kötü 2,cate3_008.png,cate3_002.png,Train/images
kötü 2,cate3_009.png,cate3_003.png,Train/images
kötü 2,cate3_010.png,cate3_004.png,Train/images
kötü 2,cate3_011.png,cate3_006.png,Train/images
kötü 2,cate3_012.png,cate3_007.png,Train/images
kötü 2,cate3_013.png,cate3_008.png,Train/images
kötü 2,cate4_000.png,cate3_009.png,Train/images
kötü 2,cate4_0000.png,cate4_0000.png,Supplemental content-93/images
kötü 2,cate4_0001.png,cate4_0001.png,Supplemental content-93/images
kötü 2,cate4_0003.png,cate4_0003.png,Supplemental content-93/images
kötü 2,cate4_0004.png,cate4_0004.png,Supplemental content-93/images
kötü 2,cate4_0007.png,cate4_0007.png,Supplemental content-93/images
kötü 2,cate4_0011.png,cate4_0011.png,Supplemental content-93/images
kötü 2,cate4_002.png,cate3_011.png,Train/images
kötü 2,cate4_003.png,cate3_012.png,Train/images
kötü 2,cate4_004.png,cate3_013.png,Train/images
kötü 2,cate4_005.png,cate4_000.png,Train/images
kötü 2,cate4_006.png,cate4_001.png,Train/images
kötü 2,cate4_007.png,cate4_003.png,Train/images
kötü 2,cate4_010.png,cate4_006.png,Train/images
kötü 2,cate4_011.png,cate4_007.png,Train/images
kötü 2,cate4_012.png,cate4_008.png,Train/images
kötü 2,cate5_000.png,cate4_010.png,Train/images
kötü 2,cate5_0001.png,cate5_0001.png,Supplemental content-93/images
kötü 2,cate5_0002.png,cate5_0002.png,Supplemental content-93/images
kötü 2,cate5_0003.png,cate5_0003.png,Supplemental content-93/images
