number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.761038961038961,2026-09-07 20:35:32.636938,2026-09-07 20:35:32.652879,0 days 00:00:00.015941,,0.0004554056650541414,mlp,,"(32, 16)",,0.0025826289952015588,,,COMPLETE
1,0.784037558685446,2026-09-07 20:35:32.652879,2026-09-07 20:35:32.668628,0 days 00:00:00.015749,,5.5204763324982306e-05,mlp,,"(32, 16)",,0.006829471516627857,,,COMPLETE
2,0.7181372549019608,2026-09-07 20:35:32.668628,2026-09-07 20:35:32.720732,0 days 00:00:00.052104,,,hgb,0.1269991436867605,,0.9943384994769668,,2.0,61.0,COMPLETE
3,0.7391304347826086,2026-09-07 20:35:32.720732,2026-09-07 20:35:32.868458,0 days 00:00:00.147726,,,hgb,0.0182959328305596,,0.00011329708232224018,,4.0,243.0,COMPLETE
4,0.4495726495726496,2026-09-07 20:35:32.868458,2026-09-07 20:35:32.883808,0 days 00:00:00.015350,,0.0012753093457101988,mlp,,"(16,)",,0.0012409947439792352,,,COMPLETE
5,0.7391304347826086,2026-09-07 20:35:32.883808,2026-09-07 20:35:32.948518,0 days 00:00:00.064710,,,hgb,0.037559201551112815,,6.05046093396442,,2.0,220.0,COMPLETE
6,0.7745098039215685,2026-09-07 20:35:32.948518,2026-09-07 20:35:33.054228,0 days 00:00:00.105710,,,hgb,0.01721309541605226,,5.322328485959648e-06,,3.0,263.0,COMPLETE
7,0.8077611940298508,2026-09-07 20:35:33.054228,2026-09-07 20:35:33.062259,0 days 00:00:00.008031,0.6456481122172288,,logreg,,,,,,,COMPLETE
8,0.5309803921568628,2026-09-07 20:35:33.062259,2026-09-07 20:35:33.087886,0 days 00:00:00.025627,,0.0001023080150576617,mlp,,"(16,)",,0.007147942414656791,,,COMPLETE
9,0.7391304347826086,2026-09-07 20:35:33.087886,2026-09-07 20:35:33.235455,0 days 00:00:00.147569,,,hgb,0.1393055427522907,,0.002346260456296092,,5.0,359.0,COMPLETE
10,0.8077611940298508,2026-09-07 20:35:33.235455,2026-09-07 20:35:33.243588,0 days 00:00:00.008133,0.8651355527108194,,logreg,,,,,,,COMPLETE
11,0.8077611940298508,2026-09-07 20:35:33.243588,2026-09-07 20:35:33.253600,0 days 00:00:00.010012,0.3625773942324709,,logreg,,,,,,,COMPLETE
12,0.8077611940298508,2026-09-07 20:35:33.253600,2026-09-07 20:35:33.266617,0 days 00:00:00.013017,1.2819458498782763,,logreg,,,,,,,COMPLETE
13,0.8308823529411764,2026-09-07 20:35:33.266617,2026-09-07 20:35:33.282379,0 days 00:00:00.015762,3.166249147713646,,logreg,,,,,,,COMPLETE
14,0.8077611940298508,2026-09-07 20:35:33.282379,2026-09-07 20:35:33.298139,0 days 00:00:00.015760,41.10382498064025,,logreg,,,,,,,COMPLETE
