number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.6645833333333333,2026-09-08 00:14:36.723898,2026-09-08 00:14:36.723898,0 days 00:00:00,0.0024347133125631262,,logreg,,,,,,,COMPLETE
1,0.7927927927927928,2026-09-08 00:14:36.723898,2026-09-08 00:14:36.740086,0 days 00:00:00.016188,,0.003984828954048987,mlp,,"(64, 16)",,0.009581717659065276,,,COMPLETE
2,0.5983564458140729,2026-09-08 00:14:36.740086,2026-09-08 00:14:36.756004,0 days 00:00:00.015918,,0.001093449514751714,mlp,,"(16,)",,0.0001678501723772171,,,COMPLETE
3,0.7927927927927928,2026-09-08 00:14:36.756004,2026-09-08 00:14:36.771959,0 days 00:00:00.015955,,7.935683309512758e-05,mlp,,"(64, 16)",,0.0025866815727069283,,,COMPLETE
4,0.5983564458140729,2026-09-08 00:14:36.771959,2026-09-08 00:14:36.784046,0 days 00:00:00.012087,,0.00010181242908755816,mlp,,"(16,)",,0.00016614322815469219,,,COMPLETE
5,0.7181372549019608,2026-09-08 00:14:36.784046,2026-09-08 00:14:36.915157,0 days 00:00:00.131111,,,hgb,0.013773826655860183,,0.15569651642899887,,3.0,362.0,COMPLETE
6,0.4177215189873418,2026-09-08 00:14:36.915157,2026-09-08 00:14:36.957886,0 days 00:00:00.042729,,0.00010476760628984441,mlp,,"(32, 16)",,0.0003181504235000584,,,COMPLETE
7,0.6645833333333333,2026-09-08 00:14:36.957886,2026-09-08 00:14:36.969906,0 days 00:00:00.012020,0.0020934446358145584,,logreg,,,,,,,COMPLETE
8,0.7528358208955224,2026-09-08 00:14:36.969906,2026-09-08 00:14:36.977660,0 days 00:00:00.007754,1.7677862501767525,,logreg,,,,,,,COMPLETE
9,0.6726874657909141,2026-09-08 00:14:36.977660,2026-09-08 00:14:36.984173,0 days 00:00:00.006513,0.030334525319377525,,logreg,,,,,,,COMPLETE
10,0.7012987012987013,2026-09-08 00:14:36.984173,2026-09-08 00:14:37.041132,0 days 00:00:00.056959,,,hgb,0.26368971677662345,,1.4880178256994575e-06,,5.0,72.0,COMPLETE
11,0.7927927927927928,2026-09-08 00:14:37.041132,2026-09-08 00:14:37.060760,0 days 00:00:00.019628,,0.05195484492613771,mlp,,"(64, 16)",,0.0067172323886768755,,,COMPLETE
12,0.7927927927927928,2026-09-08 00:14:37.060760,2026-09-08 00:14:37.072779,0 days 00:00:00.012019,,1.0043554524198483e-05,mlp,,"(64, 16)",,0.0017956185954011075,,,COMPLETE
13,0.7927927927927928,2026-09-08 00:14:37.072779,2026-09-08 00:14:37.102462,0 days 00:00:00.029683,,0.0032992681156330987,mlp,,"(64, 16)",,0.0070182287828113475,,,COMPLETE
14,0.7444444444444445,2026-09-08 00:14:37.102462,2026-09-08 00:14:37.126647,0 days 00:00:00.024185,,0.004212639201126912,mlp,,"(32,)",,0.0013983728941366555,,,COMPLETE
