number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.5460526315789473,2026-09-07 16:47:07.726970,2026-09-07 16:47:49.212685,0 days 00:00:41.485715,16,0.3,0.1,1e-05,plateau,1,False,0.001,0.7391304347826086,0.25,COMPLETE
1,0.5511042629686698,2026-09-07 16:47:49.212685,2026-09-07 16:48:30.152857,0 days 00:00:40.940172,16,0.5,0.1,1e-05,plateau,1,True,0.0001,0.5869565217391305,0.42424242424242425,COMPLETE
2,0.425,2026-09-07 16:48:30.152857,2026-09-07 16:49:11.285916,0 days 00:00:41.133059,16,0.5,0.0,1e-05,onecycle,1,False,0.005,0.7391304347826086,0.0,COMPLETE
3,0.5180952380952382,2026-09-07 16:49:11.285916,2026-09-07 16:49:27.482122,0 days 00:00:16.196206,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.5217391304347826,0.47619047619047616,COMPLETE
4,0.5801217038539555,2026-09-07 16:49:27.482122,2026-09-07 16:49:43.447250,0 days 00:00:15.965128,8,0.5,0.0,0.0003,onecycle,0,True,0.0001,0.6086956521739131,0.47058823529411764,COMPLETE
5,0.5688536409516942,2026-09-07 16:49:43.447250,2026-09-07 16:49:59.436094,0 days 00:00:15.988844,8,0.5,0.0,0.0001,onecycle,0,False,0.005,0.717391304347826,0.3157894736842105,COMPLETE
6,0.2992628992628993,2026-09-07 16:49:59.436639,2026-09-07 16:50:15.450402,0 days 00:00:16.013763,16,0.5,0.0,3e-05,plateau,0,True,0.001,0.32608695652173914,0.43636363636363634,COMPLETE
7,0.24807692307692308,2026-09-07 16:50:15.450402,2026-09-07 16:50:31.635760,0 days 00:00:16.185358,8,0.3,0.1,0.0001,plateau,0,True,0.005,0.2608695652173913,0.34615384615384615,COMPLETE
8,0.5165165165165165,2026-09-07 16:50:31.635760,2026-09-07 16:50:47.847335,0 days 00:00:16.211575,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.6956521739130435,0.2222222222222222,COMPLETE
9,0.5516569200779727,2026-09-07 16:50:47.847335,2026-09-07 16:51:29.304728,0 days 00:00:41.457393,16,0.5,0.1,3e-05,onecycle,1,False,0.001,0.5652173913043478,0.47368421052631576,COMPLETE
10,0.601923076923077,2026-09-07 16:51:29.304728,2026-09-07 16:51:45.316716,0 days 00:00:16.011988,8,0.5,0.0,0.0003,plateau,0,True,0.0001,0.6086956521739131,0.55,COMPLETE
11,0.6617647058823529,2026-09-07 16:51:45.316716,2026-09-07 16:52:01.319987,0 days 00:00:16.003271,8,0.5,0.0,0.0003,onecycle,0,True,0.0001,0.7391304347826086,0.5,COMPLETE
12,0.5983564458140729,2026-09-07 16:52:01.319987,2026-09-07 16:52:17.195049,0 days 00:00:15.875062,8,0.3,0.0,0.0003,plateau,0,True,0.0001,0.6304347826086957,0.48484848484848486,COMPLETE
13,0.3180296508847441,2026-09-07 16:52:17.195049,2026-09-07 16:52:33.274870,0 days 00:00:16.079821,8,0.5,0.0,1e-05,plateau,0,True,0.0001,0.32608695652173914,0.39215686274509803,COMPLETE
14,0.56875,2026-09-07 16:52:33.274870,2026-09-07 16:52:49.357400,0 days 00:00:16.082530,8,0.5,0.0,0.0003,plateau,0,False,0.001,0.6086956521739131,0.4375,COMPLETE
