number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.6617647058823529,2026-09-07 14:02:00.756536,2026-09-07 14:03:38.514325,0 days 00:01:37.757789,16,0.5,0.0,1e-05,onecycle,2,False,0.005,0.7391304347826086,0.5,COMPLETE
1,0.5208333333333333,2026-09-07 14:03:38.514325,2026-09-07 14:04:19.217451,0 days 00:00:40.703126,16,0.5,0.1,0.0001,onecycle,1,False,0.005,0.5217391304347826,0.5,COMPLETE
2,0.6546546546546547,2026-09-07 14:04:19.217451,2026-09-07 14:04:34.952267,0 days 00:00:15.734816,8,0.3,0.0,3e-05,plateau,0,False,0.0001,0.782608695652174,0.4444444444444444,COMPLETE
3,0.3692671394799054,2026-09-07 14:04:34.952267,2026-09-07 14:04:50.236809,0 days 00:00:15.284542,8,0.3,0.0,0.0001,onecycle,0,False,0.001,0.3695652173913043,0.3829787234042553,COMPLETE
4,0.20689655172413793,2026-09-07 14:04:50.236809,2026-09-07 14:05:05.881821,0 days 00:00:15.645012,16,0.5,0.0,0.0001,onecycle,0,True,0.005,0.2608695652173913,0.41379310344827586,COMPLETE
5,0.6166666666666667,2026-09-07 14:05:05.881821,2026-09-07 14:06:15.747258,0 days 00:01:09.865437,8,0.5,0.0,3e-05,plateau,2,True,0.0001,0.6521739130434783,0.5,COMPLETE
6,0.5864621893178212,2026-09-07 14:06:15.747258,2026-09-07 14:06:35.162512,0 days 00:00:19.415254,8,0.3,0.0,3e-05,plateau,0,True,0.005,0.6304347826086957,0.45161290322580644,COMPLETE
7,0.5038520801232665,2026-09-07 14:06:35.162512,2026-09-07 14:06:52.307458,0 days 00:00:17.144946,8,0.3,0.0,3e-05,plateau,0,True,0.001,0.5434782608695652,0.36363636363636365,COMPLETE
8,0.7015140591204037,2026-09-07 14:06:52.307458,2026-09-07 14:07:33.938027,0 days 00:00:41.630569,16,0.3,0.1,0.0003,plateau,1,False,0.0001,0.8043478260869565,0.5263157894736842,COMPLETE
9,0.4800982800982801,2026-09-07 14:07:33.938027,2026-09-07 14:08:15.365187,0 days 00:00:41.427160,16,0.3,0.0,1e-05,onecycle,1,True,0.001,0.5,0.3783783783783784,COMPLETE
10,0.7181372549019608,2026-09-07 14:08:15.365187,2026-09-07 14:09:25.391644,0 days 00:01:10.026457,16,0.3,0.1,0.0003,plateau,2,False,0.005,0.782608695652174,0.5833333333333334,COMPLETE
11,0.681159420289855,2026-09-07 14:09:25.391644,2026-09-07 14:10:06.536777,0 days 00:00:41.145133,16,0.3,0.1,0.0003,plateau,1,False,0.0001,0.7608695652173914,0.5217391304347826,COMPLETE
12,0.6805555555555556,2026-09-07 14:10:06.536777,2026-09-07 14:11:16.768013,0 days 00:01:10.231236,16,0.3,0.1,0.0003,plateau,2,False,0.005,0.782608695652174,0.5,COMPLETE
13,0.6429850746268657,2026-09-07 14:11:16.768013,2026-09-07 14:12:34.791969,0 days 00:01:18.023956,16,0.3,0.1,1e-05,plateau,2,True,0.0001,0.717391304347826,0.48,COMPLETE
14,0.425,2026-09-07 14:12:34.791969,2026-09-07 14:12:54.458581,0 days 00:00:19.666612,16,0.5,0.1,0.0003,plateau,0,False,0.0001,0.7391304347826086,0.0,COMPLETE
