number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.5688536409516942,2026-09-07 17:44:49.393929,2026-09-07 17:46:03.675224,0 days 00:01:14.281295,16,0.5,0.0,1e-05,onecycle,2,False,0.005,0.717391304347826,0.3157894736842105,COMPLETE
1,0.6617647058823529,2026-09-07 17:46:03.675224,2026-09-07 17:46:42.231544,0 days 00:00:38.556320,16,0.5,0.1,0.0001,onecycle,1,False,0.005,0.7391304347826086,0.5,COMPLETE
2,0.5460526315789473,2026-09-07 17:46:42.231544,2026-09-07 17:46:57.431615,0 days 00:00:15.200071,8,0.3,0.0,3e-05,plateau,0,False,0.0001,0.7391304347826086,0.25,COMPLETE
3,0.731934731934732,2026-09-07 17:46:57.431615,2026-09-07 17:47:12.580662,0 days 00:00:15.149047,8,0.3,0.0,0.0001,onecycle,0,False,0.001,0.782608695652174,0.6153846153846154,COMPLETE
4,0.425,2026-09-07 17:47:12.580662,2026-09-07 17:47:27.691765,0 days 00:00:15.111103,16,0.5,0.0,0.0001,onecycle,0,True,0.005,0.7391304347826086,0.0,COMPLETE
5,0.761038961038961,2026-09-07 17:47:27.691765,2026-09-07 17:48:32.820320,0 days 00:01:05.128555,8,0.5,0.0,3e-05,plateau,2,True,0.0001,0.8260869565217391,0.6363636363636364,COMPLETE
6,0.4619883040935673,2026-09-07 17:48:32.820320,2026-09-07 17:48:47.530795,0 days 00:00:14.710475,8,0.3,0.0,3e-05,plateau,0,True,0.005,0.4782608695652174,0.3684210526315789,COMPLETE
7,0.47291666666666665,2026-09-07 17:48:47.530795,2026-09-07 17:49:02.183097,0 days 00:00:14.652302,8,0.3,0.0,3e-05,plateau,0,True,0.001,0.5217391304347826,0.3125,COMPLETE
8,0.6351136964569011,2026-09-07 17:49:02.183097,2026-09-07 17:49:40.992641,0 days 00:00:38.809544,16,0.3,0.1,0.0003,plateau,1,False,0.0001,0.6739130434782609,0.5161290322580645,COMPLETE
9,0.5372233400402414,2026-09-07 17:49:40.992641,2026-09-07 17:50:19.416972,0 days 00:00:38.424331,16,0.3,0.0,1e-05,onecycle,1,True,0.001,0.6739130434782609,0.2857142857142857,COMPLETE
10,0.6645833333333333,2026-09-07 17:50:19.416972,2026-09-07 17:51:10.221955,0 days 00:00:50.804983,8,0.5,0.0,3e-05,plateau,2,True,0.0001,0.6956521739130435,0.5625,COMPLETE
11,0.681159420289855,2026-09-07 17:51:10.221955,2026-09-07 17:51:47.666402,0 days 00:00:37.444447,8,0.3,0.0,0.0003,onecycle,1,False,0.001,0.7608695652173914,0.5217391304347826,COMPLETE
12,0.5460526315789473,2026-09-07 17:51:47.666402,2026-09-07 17:52:02.389444,0 days 00:00:14.723042,8,0.3,0.1,0.0001,onecycle,0,False,0.001,0.7391304347826086,0.25,COMPLETE
13,0.784037558685446,2026-09-07 17:52:02.389444,2026-09-07 17:52:16.958345,0 days 00:00:14.568901,8,0.3,0.0,0.0001,onecycle,0,False,0.001,0.8478260869565217,0.6666666666666666,COMPLETE
14,0.7015140591204037,2026-09-07 17:52:16.958345,2026-09-07 17:53:21.148519,0 days 00:01:04.190174,8,0.5,0.0,0.0001,onecycle,2,True,0.0001,0.8043478260869565,0.5263157894736842,COMPLETE
