number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.4025974025974026,2026-09-07 18:40:03.974907,2026-09-07 18:41:09.702038,0 days 00:01:05.727131,16,0.5,0.0,1e-05,onecycle,2,False,0.005,0.6739130434782609,0.0,COMPLETE
1,0.425,2026-09-07 18:41:09.702038,2026-09-07 18:41:48.571409,0 days 00:00:38.869371,16,0.5,0.1,0.0001,onecycle,1,False,0.005,0.7391304347826086,0.0,COMPLETE
2,0.425,2026-09-07 18:41:48.571409,2026-09-07 18:42:03.395087,0 days 00:00:14.823678,8,0.3,0.0,3e-05,plateau,0,False,0.0001,0.7391304347826086,0.0,COMPLETE
3,0.425,2026-09-07 18:42:03.395087,2026-09-07 18:42:18.277211,0 days 00:00:14.882124,8,0.3,0.0,0.0001,onecycle,0,False,0.001,0.7391304347826086,0.0,COMPLETE
4,0.20689655172413793,2026-09-07 18:42:18.277211,2026-09-07 18:42:33.744041,0 days 00:00:15.466830,16,0.5,0.0,0.0001,onecycle,0,True,0.005,0.2608695652173913,0.41379310344827586,COMPLETE
5,0.425,2026-09-07 18:42:33.744041,2026-09-07 18:43:16.238389,0 days 00:00:42.494348,8,0.5,0.0,3e-05,plateau,2,True,0.0001,0.7391304347826086,0.0,COMPLETE
6,0.425,2026-09-07 18:43:16.238389,2026-09-07 18:43:31.194143,0 days 00:00:14.955754,8,0.3,0.0,3e-05,plateau,0,True,0.005,0.7391304347826086,0.0,COMPLETE
7,0.425,2026-09-07 18:43:31.194143,2026-09-07 18:43:46.148407,0 days 00:00:14.954264,8,0.3,0.0,3e-05,plateau,0,True,0.001,0.7391304347826086,0.0,COMPLETE
8,0.425,2026-09-07 18:43:46.148407,2026-09-07 18:44:25.448355,0 days 00:00:39.299948,16,0.3,0.1,0.0003,plateau,1,False,0.0001,0.7391304347826086,0.0,COMPLETE
9,0.425,2026-09-07 18:44:25.448355,2026-09-07 18:45:04.317031,0 days 00:00:38.868676,16,0.3,0.0,1e-05,onecycle,1,True,0.001,0.7391304347826086,0.0,COMPLETE
10,0.425,2026-09-07 18:45:04.317031,2026-09-07 18:45:42.320939,0 days 00:00:38.003908,8,0.5,0.1,0.0001,onecycle,1,False,0.005,0.7391304347826086,0.0,COMPLETE
11,0.425,2026-09-07 18:45:42.320939,2026-09-07 18:45:57.403393,0 days 00:00:15.082454,8,0.3,0.0,1e-05,plateau,0,False,0.0001,0.7391304347826086,0.0,COMPLETE
12,0.425,2026-09-07 18:45:57.403393,2026-09-07 18:46:13.009914,0 days 00:00:15.606521,16,0.3,0.0,3e-05,plateau,0,False,0.0001,0.7391304347826086,0.0,COMPLETE
13,0.425,2026-09-07 18:46:13.009914,2026-09-07 18:46:52.131096,0 days 00:00:39.121182,16,0.3,0.1,0.0001,onecycle,1,False,0.005,0.7391304347826086,0.0,COMPLETE
14,0.425,2026-09-07 18:46:52.131096,2026-09-07 18:47:31.052015,0 days 00:00:38.920919,16,0.5,0.1,0.0001,onecycle,1,True,0.005,0.7391304347826086,0.0,COMPLETE
