number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.6043010752688172,2026-09-07 12:50:05.337857,2026-09-07 12:51:43.633898,0 days 00:01:38.296041,16,0.5,0.0,1e-05,onecycle,2,False,0.005,0.6521739130434783,0.4666666666666667,COMPLETE
1,0.697910447761194,2026-09-07 12:51:43.633898,2026-09-07 12:52:24.868396,0 days 00:00:41.234498,16,0.5,0.1,0.0001,onecycle,1,False,0.005,0.7608695652173914,0.56,COMPLETE
2,0.697910447761194,2026-09-07 12:52:24.868396,2026-09-07 12:52:47.669416,0 days 00:00:22.801020,8,0.3,0.0,3e-05,plateau,0,False,0.0001,0.7608695652173914,0.56,COMPLETE
3,0.7125,2026-09-07 12:52:47.669416,2026-09-07 12:53:10.176214,0 days 00:00:22.506798,8,0.3,0.0,0.0001,onecycle,0,False,0.001,0.7391304347826086,0.625,COMPLETE
4,0.50730282375852,2026-09-07 12:53:10.176214,2026-09-07 12:53:29.929382,0 days 00:00:19.753168,16,0.5,0.0,0.0001,onecycle,0,True,0.005,0.7608695652173914,0.15384615384615385,COMPLETE
5,0.7444444444444445,2026-09-07 12:53:29.929382,2026-09-07 12:54:41.429185,0 days 00:01:11.499803,8,0.5,0.0,3e-05,plateau,2,True,0.0001,0.8260869565217391,0.6,COMPLETE
6,0.7433035714285714,2026-09-07 12:54:41.429185,2026-09-07 12:55:06.171612,0 days 00:00:24.742427,8,0.3,0.0,3e-05,plateau,0,True,0.005,0.782608695652174,0.6428571428571429,COMPLETE
7,0.7032258064516128,2026-09-07 12:55:06.171612,2026-09-07 12:55:29.272511,0 days 00:00:23.100899,8,0.3,0.0,3e-05,plateau,0,True,0.001,0.7391304347826086,0.6,COMPLETE
8,0.784037558685446,2026-09-07 12:55:29.272511,2026-09-07 12:56:19.067765,0 days 00:00:49.795254,16,0.3,0.1,0.0003,plateau,1,False,0.0001,0.8478260869565217,0.6666666666666666,COMPLETE
9,0.6031372549019608,2026-09-07 12:56:19.067765,2026-09-07 12:57:13.717421,0 days 00:00:54.649656,16,0.3,0.0,1e-05,onecycle,1,True,0.001,0.7608695652173914,0.35294117647058826,COMPLETE
10,0.8391608391608392,2026-09-07 12:57:13.717421,2026-09-07 12:58:39.115215,0 days 00:01:25.397794,16,0.3,0.1,0.0003,plateau,2,False,0.005,0.8695652173913043,0.7692307692307693,COMPLETE
11,0.7528358208955224,2026-09-07 12:58:39.116248,2026-09-07 12:59:30.040565,0 days 00:00:50.924317,16,0.3,0.1,0.0003,plateau,1,False,0.0001,0.8043478260869565,0.64,COMPLETE
12,0.8457411133467472,2026-09-07 12:59:30.040565,2026-09-07 13:00:57.338822,0 days 00:01:27.298257,16,0.3,0.1,0.0003,plateau,2,False,0.005,0.8913043478260869,0.7619047619047619,COMPLETE
13,0.7125,2026-09-07 13:00:57.338822,2026-09-07 13:02:25.969284,0 days 00:01:28.630462,16,0.3,0.1,1e-05,plateau,2,False,0.005,0.7391304347826086,0.625,COMPLETE
14,0.7528358208955224,2026-09-07 13:02:25.969284,2026-09-07 13:03:32.761714,0 days 00:01:06.792430,16,0.3,0.1,0.0003,plateau,2,True,0.005,0.8043478260869565,0.64,COMPLETE
